#  time               r              phi             Phi             Pi            delta              A            Ricci
1.4922565105    1.4137166941   -0.0002570480    0.0048443349   -0.0027557127   -8.3115969690    0.9987369270  -11.9999989598
1.5118914645    0.1413716694    1.7674737085   -8.5045807316   -3.7733039249   -0.5942722077    0.6371954147   73.0555885058
1.5118914645    0.2827433388    0.1640652048   -8.0361879416   -8.2250320377   -8.0871000207    0.0339639665  -12.0846896876
1.5118914645    0.4241150082    0.0051389359   -0.1631111214   -0.4341071771   -8.3836509401    0.4239105683  -12.1138724846
1.5118914645    0.5654866776   -0.0052184138   -0.0242214552   -0.2317641196   -8.3897782681    0.6457835340  -12.0488083358
1.5118914645    0.7068583471   -0.0063031632    0.0024581310   -0.1602479950   -8.3922769051    0.7851530538  -12.0231519438
1.5118914645    0.8482300165   -0.0054890485    0.0073064529   -0.1189741391   -8.3936359976    0.8768009364  -12.0106940141
1.5118914645    0.9896016859   -0.0044919934    0.0066539298   -0.0868980451   -8.3943642804    0.9362697770  -12.0041564780
1.5118914645    1.1309733553   -0.0034259984    0.0095147182   -0.0527369376   -8.3946746750    0.9723575311  -12.0009016499
1.5118914645    1.2723450247   -0.0017423234    0.0130116725   -0.0188410695   -8.3947469073    0.9913464149  -12.0000196875
1.5118914645    1.4137166941   -0.0003071926    0.0058966574   -0.0023523851   -8.3947540938    0.9987370101  -11.9999981934
1.5315264186    0.1413716694    1.7674551387   -8.5046487383   -3.7742119914   -0.5943469481    0.6371673336   73.0450126154
1.5315264186    0.2827433388    0.1600314570   -8.1898263734   -8.3896938006   -8.1669370842    0.0333741015  -12.1015275745
1.5315264186    0.4241150082    0.0015843076   -0.1570236251   -0.4288426343   -8.4670987125    0.4237295956  -12.1120932290
1.5315264186    0.5654866776   -0.0081267622   -0.0206084747   -0.2288194909   -8.4730417302    0.6457453980  -12.0475506370
1.5315264186    0.7068583471   -0.0087562913    0.0054340873   -0.1584683463   -8.4754777368    0.7851605384  -12.0224680563
1.5315264186    0.8482300165   -0.0075280348    0.0102642036   -0.1179025816   -8.4768125081    0.8768165060  -12.0103535172
1.5315264186    0.9896016859   -0.0060808048    0.0102332665   -0.0857795887   -8.4775308312    0.9362812781  -12.0039462083
1.5315264186    1.1309733553   -0.0044111387    0.0143778823   -0.0502697166   -8.4778320477    0.9723663214  -12.0007402121
1.5315264186    1.2723450247   -0.0020893085    0.0165876643   -0.0167490426   -8.4779019101    0.9913492724  -11.9999834614
1.5315264186    1.4137166941   -0.0003493591    0.0067984179   -0.0019448746   -8.4779100117    0.9987370925  -11.9999974375
1.5511613727    0.1413716694    1.7674380463   -8.5047113522   -3.7750476622   -0.5944157427    0.6371414875   73.0352787636
1.5511613727    0.2827433388    0.1560016269   -8.3493466164   -8.5597389330   -8.2468271501    0.0327871798  -12.1177796224
1.5511613727    0.4241150082   -0.0019252680   -0.1509500571   -0.4232679877   -8.5505722658    0.4235577002  -12.1100166199
1.5511613727    0.5654866776   -0.0109964505   -0.0170567809   -0.2256145001   -8.5563258689    0.6457137329  -12.0461110614
1.5511613727    0.7068583471   -0.0111799811    0.0083442988   -0.1564037243   -8.5586946280    0.7851734370  -12.0216484596
1.5511613727    0.8482300165   -0.0095456231    0.0131833654   -0.1164765633   -8.5600005133    0.8768370514  -12.0099071461
1.5511613727    0.9896016859   -0.0076437106    0.0139523285   -0.0840692081   -8.5607043700    0.9362974767  -12.0036457319
1.5511613727    1.1309733553   -0.0053427609    0.0193788869   -0.0471406184   -8.5609938682    0.9723780708  -12.0005368928
1.5511613727    1.2723450247   -0.0023938647    0.0199039178   -0.0144969656   -8.5610624323    0.9913523642  -11.9999451921
1.5511613727    1.4137166941   -0.0003835844    0.0075466718   -0.0015448940   -8.5610716559    0.9987371680  -11.9999967442
1.5707963268    0.1413716694    1.7674223141   -8.5047689979   -3.7758166975   -0.5944790626    0.6371176990   73.0263201251
1.5707963268    0.2827433388    0.1519756986   -8.5137958825   -8.7342299217   -8.3267779950    0.0322033434  -12.1334308205
1.5707963268    0.4241150082   -0.0053874207   -0.1448859396   -0.4173915263   -8.6340758600    0.4233948061  -12.1076600818
1.5707963268    0.5654866776   -0.0138242977   -0.0135596010   -0.2221560158   -8.6396355020    0.6456883146  -12.0445013787
1.5707963268    0.7068583471   -0.0135699207    0.0111982486   -0.1540590602   -8.6419327477    0.7851914732  -12.0207007440
1.5707963268    0.8482300165   -0.0115356838    0.0160833500   -0.1146898153   -8.6432053928    0.8768623370  -12.0093577525
1.5707963268    0.9896016859   -0.0091694211    0.0178589386   -0.0817221753   -8.6438903240    0.9363182732  -12.0032534202
1.5707963268    1.1309733553   -0.0062086780    0.0244655624   -0.0434012522   -8.6441663856    0.9723922588  -12.0002988937
1.5707963268    1.2723450247   -0.0026535597    0.0229082723   -0.0121547496   -8.6442350544    0.9913554567  -11.9999071987
1.5707963268    1.4137166941   -0.0004101117    0.0081429955   -0.0011617903   -8.6442455155    0.9987372318  -11.9999961519
1.5904312809    0.1413716694    1.7674078344   -8.5048220666   -3.7765243963   -0.5945373414    0.6370958050   73.0180752018
1.5904312809    0.2827433388    0.1479541630   -8.6822235860   -8.9122318513   -8.4067961177    0.0316227536  -12.1484627688
1.5904312809    0.4241150082   -0.0087998328   -0.1388269213   -0.4112209878   -8.7176129509    0.4232408268  -12.1050408200
1.5904312809    0.5654866776   -0.0166071959   -0.0101102367   -0.2184502579   -8.7229746491    0.6456689143  -12.0427333223
1.5904312809    0.7068583471   -0.0159218592    0.0140057599   -0.1514382216   -8.7251964808    0.7852143645  -12.0196326259
1.5904312809    0.8482300165   -0.0134919341    0.0189876785   -0.1125311154   -8.7264317675    0.8768921166  -12.0087079143
1.5904312809    0.9896016859   -0.0106458242    0.0219985712   -0.0786948817   -8.7270934844    0.9363434870  -12.0027692331
1.5904312809    1.1309733553   -0.0069978853    0.0295701830   -0.0391236667   -8.7273554771    0.9724081985  -12.0000354992
1.5904312809    1.2723450247   -0.0028672847    0.0255587655   -0.0097879269   -8.7274258487    0.9913583373  -11.9998715543
1.5904312809    1.4137166941   -0.0004293451    0.0085926858   -0.0008026244   -8.7274375667    0.9987372809  -11.9999956850
1.6100662350    0.1413716694    1.7673945080   -8.5048709191   -3.7771756336   -0.5945909784    0.6370756554   73.0104873898
1.6100662350    0.2827433388    0.1439379633   -8.8537368489   -9.0928678273   -8.4868866886    0.0310455891  -12.1628563216
1.6100662350    0.4241150082   -0.0121602323   -0.1327685576   -0.4047633806   -8.8011861705    0.4230956656  -12.1021757460
1.6100662350    0.5654866776   -0.0193421005   -0.0067020267   -0.2145027853   -8.8063465087    0.6456552985  -12.0408185692
1.6100662350    0.7068583471   -0.0182315885    0.0167771160   -0.1485438791   -8.8084894039    0.7852418236  -12.0184518965
1.6100662350    0.8482300165   -0.0154078393    0.0219252388   -0.1099828207   -8.8096834723    0.8769261363  -12.0079596969
1.6100662350    0.9896016859   -0.0120600481    0.0264095743   -0.0749496917   -8.8103180306    0.9363728208  -12.0021955278
1.6100662350    1.1309733553   -0.0077009312    0.0346122981   -0.0343979457   -8.8105666139    0.9724250662  -11.9997575671
1.6100662350    1.2723450247   -0.0030351451    0.0278248715   -0.0074552429   -8.8106403143    0.9913608283  -11.9998399578
1.6100662350    1.4137166941   -0.0004418065    0.0089039438   -0.0004723621   -8.8106532164    0.9987373139  -11.9999953548
1.6297011890    0.1413716694    1.7673822435   -8.5049158875   -3.7777748958   -0.5946403412    0.6370571120   73.0035045824
1.6297011890    0.2827433388    0.1399284237   -9.0275420863   -9.2753604439   -8.5670535615    0.0304720439  -12.1765938402
1.6297011890    0.4241150082   -0.0154663861   -0.1267062324   -0.3980249507   -8.8847973217    0.4229592154  -12.0990814604
1.6297011890    0.5654866776   -0.0220260222   -0.0033283039   -0.2103184765   -8.8897534532    0.6456472292  -12.0387687210
1.6297011890    0.7068583471   -0.0204949232    0.0195232246   -0.1453773288   -8.8918142788    0.7852735584  -12.0171663667
1.6297011890    0.8482300165   -0.0172764890    0.0249315479   -0.1070193597   -8.8929635481    0.8769641345  -12.0071144558
1.6297011890    0.9896016859   -0.0133986218    0.0311179255   -0.0704604809   -8.8935675853    0.9364058175  -12.0015379065
